     Time        Chn     ID          Name                             Event Type    Dir    DLC   Data length   Data                            
 [+] 12.435683   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 00 00 00 00 00 00         
 [+] 12.436247   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 FF FF 00 00 58 0B         
 [+] 12.436820   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 01 00 00 00 FF FF 00         
 [+] 12.437396   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 00 00 00 00 00         
 [+] 12.437956   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 01 00 00 00 59 0B 01         
 [+] 12.438528   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 00 FF FF 00 00         
 [+] 12.439109   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 00 00 00 00 00 01         
 [+] 12.439669   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 00 00 59 0B 01 00         
 [+] 12.440249   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 00 FF FF 00 00 00         
 [+] 12.440821   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 00 00 00 01 00         
 [+] 12.441394   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 5A 0B 01 00 00         
 [+] 12.441970   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 00 00 00 00 00         
 [+] 12.473563   CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             03 7F 36 78 55 55 55 55         
 [+] 12.493618   CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             02 76 0A 55 55 55 55 55         
 [+] 12.497546   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             1F FF 36 0B FF FF 00 00         
 [+] 12.498098   CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             30 00 00 55 55 55 55 55         
 [+] 12.498878   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 00 00 00 00 01         
 [+] 12.499443   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 00 00 5B 0B 01 00         
 [+] 12.500019   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 FF FF 00 00 00         
 [+] 12.500591   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 00 00 00 00 01 00         
 [+] 12.501155   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 00 5C 0B 01 00 00         
 [+] 12.501728   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 FF FF 00 00 00 00         
 [+] 12.502300   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 00 00 01 00 00         
 [+] 12.502860   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 5D 0B 01 00 00 00         
 [+] 12.503440   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 FF FF 00 00 00 00 00         
 [+] 12.504013   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 00 00 01 00 00 00         
 [+] 12.504569   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 5D 0B 01 00 00 00 FF         
 [+] 12.505145   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C FF 00 00 00 00 00 00         
 [+] 12.505717   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 00 00 01 00 00 00 5E         
 [+] 12.506286   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 0B 01 00 00 00 FF FF         
 [+] 12.506866   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 00 00 00 00 00 00         
 [+] 12.507438   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 01 00 00 00 5E 0B         
 [+] 12.508006   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 01 00 00 00 FF FF 00         
 [+] 12.508583   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 00 00 00 00 00 00         
 [+] 12.509147   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 01 00 00 00 5E 0B 01         
 [+] 12.509723   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 00 00 FF FF 00 00         
 [+] 12.510299   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 00 00 00 00 00 01         
 [+] 12.510876   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 00 00 5F 0B 01 00         
 [+] 12.511448   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 FF FF 00 00 00         
 [+] 12.512028   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 00 00 00 01 00         
 [+] 12.512592   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 5E 0B 01 00 00         
 [+] 12.513165   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 FF FF 00 00 00 00         
 [+] 12.513741   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 00 00 00 01 00 00         
 [+] 12.514305   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 08 0B 01 00 00 00         
 [+] 12.514881   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D FF FF 00 00 00 00 00         
 [+] 12.515458   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 00 00 FF FF 00 00         
 [+] 12.516018   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F C3 09 01 00 00 00 FF         
 [+] 12.516594   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 FF 00 00 00 00 00 00         
 [+] 12.517162   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 01 00 00 00 74         
 [+] 12.517731   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 0C 01 00 00 00 FF FF         
 [+] 12.518315   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 00 00 00 00 00         
 [+] 12.518879   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 01 00 00 00 77 0B         
 [+] 12.519451   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 01 00 00 00 FF FF 00         
 [+] 12.520028   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 00 00 00 00 00 00         
 [+] 12.520596   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 01 00 00 00 B7 00 01         
 [+] 12.521172   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 00 FF FF 00 00         
 [+] 12.521748   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 00 00 00 00 01         
 [+] 12.522317   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 00 00 77 0B 01 00         
 [+] 12.522893   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 00 FF FF 00 00 00         
 [+] 12.523465   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 00 00 00 00 01 00         
 [+] 12.524037   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 00 00 B7 00 01 00 00         
 [+] 12.524610   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 FF FF 00 00 00 00         
 [+] 12.525186   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 00 00 00 01 00 00         
 [+] 12.525754   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 7D 0B 01 00 00 00         
 [+] 12.526330   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 FF FF 00 00 00 00 00         
 [+] 12.526907   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 00 00 01 00 00 00         
 [+] 12.527475   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 7E 0B 01 00 00 00 FF         
 [+] 12.528047   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 FF 00 00 00 00 00 00         
 [+] 12.528623   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 00 01 00 00 00 7F         
 [+] 12.529192   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 0B 01 00 00 00 FF FF         
 [+] 12.529768   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 00 00 00 00 00         
 [+] 12.530336   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 01 00 00 00 80 0B         
 [+] 12.530908   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 01 00 00 00 FF FF 00         
 [+] 12.531485   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 00 00 00 00 00 00         
 [+] 12.532049   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 01 00 00 00 81 0B 01         
 [+] 12.532629   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 00 00 FF FF 00 00         
 [+] 12.533209   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 00 00 00 00 00 00 01         
 [+] 12.533778   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 00 00 7D 0B 01 00         
 [+] 12.534350   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 00 FF FF 00 00 00         
 [+] 12.534934   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 00 00 00 00 FF FF         
 [+] 12.535510   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 7C 0B 01 00 00         
 [+] 12.536087   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 FF FF 00 00 00 00         
 [+] 12.536663   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 00 00 01 00 00         
 [+] 12.537223   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 77 0B 01 00 00 00         
 [+] 12.537799   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 FF FF 00 00 00 00 00         
 [+] 12.538376   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 00 00 01 00 00 00         
 [+] 12.538940   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 B7 00 01 00 00 00 FF         
 [+] 12.539512   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 FF 00 00 00 00 00 00         
 [+] 12.540084   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 01 00 00 00 7D         
 [+] 12.540653   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 0B 01 00 00 00 FF FF         
 [+] 12.541229   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 00 00 00 00 00 00         
 [+] 12.541805   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 FF FF 00 00 82 0B         
 [+] 12.542373   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 01 00 00 00 FF FF 00         
 [+] 12.542950   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 00 00 00 00 00 00         
 [+] 12.543510   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 01 00 00 00 8A 07 01         
 [+] 12.544086   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 00 00 FF FF 00 00         
 [+] 12.544662   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 00 00 00 00 01         
 [+] 12.545227   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 00 00 8A 07 01 00         
 [+] 12.545803   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 FF FF 00 00 00         
 [+] 12.546375   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 00 00 00 00 01 00         
 [+] 12.546939   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 00 8A 07 01 00 00         
 [+] 12.547512   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 FF FF 00 00 00 00         
 [+] 12.548088   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 00 00 FF FF 00         
 [+] 12.548652   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 8C 07 01 00 00 00         
 [+] 12.549224   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 FF FF 00 00 00 00 98         
 [+] 12.549789   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 09 01 A8 00 00 00         
 [+] 12.550349   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B B7 00 01 00 BA 00 10         
 [+] 12.550913   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 DB 00 19 00 DC 00         
 [+] 12.551473   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 17 00 DD 00 18 00 DE         
 [+] 12.552034   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 1A 00 EB 00 11 00         
 [+] 12.552590   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F EE 00 56 00 EF 00 2D         
 [+] 12.553158   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 F2 00 51 00 FF 00         
 [+] 12.553714   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 86 02 00 01 87 02 01         
 [+] 12.554267   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 01 88 02 02 01 89 02         
 [+] 12.554819   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 03 01 8A 02 04 01 8B         
 [+] 12.555375   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 02 05 01 8C 02 07 01         
 [+] 12.555931   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 8D 02 08 01 8E 02 71         
 [+] 12.556492   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 01 04 00 AB 01 76 00         
 [+] 12.557036   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 AC 01 75 00 AD 01 74         
 [+] 12.557588   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 B1 01 6B 00 B2 01         
 [+] 12.558140   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 6D 00 B3 01 6C 00 B4         
 [+] 12.558693   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 01 6E 00 B5 01 5B 00         
 [+] 12.559241   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B B6 01 5C 00 B7 01 5D         
 [+] 12.559801   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 B8 01 5E 00 B9 01         
 [+] 12.560345   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 65 00 BA 01 66 00 BB         
 [+] 12.560898   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 01 67 00 BC 01 68 00         
 [+] 12.561458   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F BD 01 38 00 BE 01 3D         
 [+] 12.562018   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 BF 01 39 00 C0 01         
 [+] 12.562574   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 3B 00 C1 01 3E 00 C2         
 [+] 12.563139   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 01 40 00 F5 01 02 00         
 [+] 12.563707   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 F6 01 03 00 FA 01 05         
 [+] 12.564271   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 FB 01 06 00 FC 01         
 [+] 12.564831   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 07 00 FF 01 0E 00 00         
 [+] 12.565392   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 02 0F 00 1C 03 8F 02         
 [+] 12.565936   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 1D 03 91 02 E8 03 59         
 [+] 12.566496   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 E9 03 63 00 EA 03         
 [+] 12.567044   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 62 00 EB 03 60 00 EC         
 [+] 12.567605   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 03 5F 00 ED 03 61 00         
 [+] 12.568157   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B EE 03 5A 00 1E 04 70         
 [+] 12.568721   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 1F 04 71 00 20 04         
 [+] 12.569269   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 72 00 21 04 73 00 BB         
 [+] 12.569826   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 04 37 00 BC 04 3C 00         
 [+] 12.570386   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F DF 04 90 02 E0 04 92         
 [+] 12.570942   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 02 53 05 55 00 54 05         
 [+] 12.571494   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 42 00 55 05 54 00 56         
 [+] 12.572051   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 05 08 00 57 05 09 00         
 [+] 12.572603   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 58 05 0A 00 59 05 0B         
 [+] 12.573163   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 63 05 32 00 64 05         
 [+] 12.573715   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 33 00 65 05 35 00 6D         
 [+] 12.574272   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 05 57 00 6E 05 58 00         
 [+] 12.574820   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 6F 05 E0 00 70 05 E3         
 [+] 12.575376   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 71 05 E6 00 72 05         
 [+] 12.575924   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 E9 00 73 05 EC 00 74         
 [+] 12.576477   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 05 E1 00 75 05 E4 00         
 [+] 12.577025   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 76 05 E7 00 77 05 EA         
 [+] 12.577577   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 78 05 ED 00 7A 05         
 [+] 12.578141   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D DF 00 7B 05 E2 00 7C         
 [+] 12.578698   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 05 E5 00 7D 05 E8 00         
 [+] 12.579250   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 7E 05 EB 00 7F 05 12         
 [+] 12.579810   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 80 05 13 00 81 05         
 [+] 12.580366   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 14 00 82 05 15 00 83         
 [+] 12.580915   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 05 16 00 84 05 DD 00         
 [+] 12.581467   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 85 05 DE 00 8D 05 88         
 [+] 12.582023   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 9D 05 06 01 9E 05         
 [+] 12.582571   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 07 01 D4 06 3A 00 D5         
 [+] 12.583128   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 06 3F 00 D6 06 36 00         
 [+] 12.583676   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 D7 06 2B 00 DB 06 29         
 [+] 12.584232   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 DC 06 2E 00 DD 06         
 [+] 12.584792   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 2F 00 DE 06 30 00 DF         
 [+] 12.585345   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 06 8A 01 E3 06 7F 00         
 [+] 12.585901   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B E4 06 81 00 E5 06 82         
 [+] 12.586457   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 E6 06 84 00 E7 06         
 [+] 12.587013   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 7C 00 E8 06 7E 00 E9         
 [+] 12.587566   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 06 7D 00 EA 06 85 00         
 [+] 12.588134   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F EB 06 80 00 EC 06 78         
 [+] 12.588690   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 ED 06 79 00 EE 06         
 [+] 12.589238   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 7A 00 EF 06 7B 00 F5         
 [+] 12.589803   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 06 DC 00 F6 06 87 00         
 [+] 12.590363   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 F7 06 86 00 00 07 28         
 [+] 12.590923   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 01 07 27 00 34 07         
 [+] 12.591479   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 69 00 4B 07 02 01 5A         
 [+] 12.592044   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 07 FB 00 5B 07 FC 00         
 [+] 12.592596   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 5C 07 FD 00 5D 07 01         
 [+] 12.593164   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 01 5E 07 00 01 5F 07         
 [+] 12.593732   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 FF 00 60 07 FE 00 61         
 [+] 12.594289   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 07 F7 00 62 07 F6 00         
 [+] 12.594845   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 63 07 F5 00 67 07 FA         
 [+] 12.595401   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 69 07 F9 00 6A 07         
 [+] 12.595961   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D F1 00 6B 07 F8 00 6D         
 [+] 12.596522   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 07 F4 00 6E 07 F2 00         
 [+] 12.597074   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 6F 07 F3 00 70 07 F0         
 [+] 12.597630   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 71 07 EF 00 76 07         
 [+] 12.598182   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 44 00 77 07 4C 00 79         
 [+] 12.598735   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 07 50 00 7A 07 4F 00         
 [+] 12.599295   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 7B 07 4E 00 7C 07 4D         
 [+] 12.599863   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 7D 07 52 00 7E 07         
 [+] 12.600415   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 53 00 7F 07 4B 00 81         
 [+] 12.600968   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 07 4A 00 83 07 49 00         
 [+] 12.601516   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 85 07 48 00 8A 07 AB         
 [+] 12.602064   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 02 8C 07 AC 02 A9 07         
 [+] 12.602612   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 34 00 AA 07 31 00 DD         
 [+] 12.603161   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 07 0B 01 DE 07 6E 02         
 [+] 12.603717   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B DF 07 6F 02 E0 07 70         
 [+] 12.604269   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 02 E2 07 83 00 E4 07         
 [+] 12.604817   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 71 02 E7 07 72 02 E9         
 [+] 12.605366   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 07 73 02 F3 07 77 02         
 [+] 12.605918   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F F4 07 78 02 F5 07 79         
 [+] 12.606474   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 02 F6 07 7A 02 F7 07         
 [+] 12.607034   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 7B 02 F8 07 7C 02 0B         
 [+] 12.607583   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 08 CC 01 0C 08 CD 01         
 [+] 12.608127   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 0D 08 CE 01 11 08 F0         
 [+] 12.608671   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 01 12 08 F2 01 13 08         
 [+] 12.609219   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 F3 01 77 08 D0 01 79         
 [+] 12.609772   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 08 D2 01 7A 08 D4 01         
 [+] 12.610320   CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 7B 08 D7 01 7C 08 DA         
