     Time        Chn     ID          Name                             Event Type    Dir    DLC   Data length   Data                            
 [+] 2.111637    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 0B 15 3A 04 01 02 03         
 [+] 2.112197    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 04 01 02 03 04 01 02         
 [+] 2.112770    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 03 10 00 00 00 00 00         
 [+] 2.118469    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             03 6E F1 5A 55 55 55 55         
 [+] 2.119817    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             10 0D 31 01 FF 00 44 01         
 [+] 2.120369    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             30 00 00 55 55 55 55 55         
 [+] 2.121270    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 D0 00 00 00 10 00 00         
 [+] 2.158559    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             03 7F 31 78 55 55 55 55         
 [+] 7.140633    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             03 7F 31 78 55 55 55 55         
 [+] 8.503950    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             05 71 01 FF 00 00 55 55         
 [+] 8.505514    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             10 0B 34 00 44 01 D0 00         
 [+] 8.506070    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             30 00 00 55 55 55 55 55         
 [+] 8.507054    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 00 03 FD C4 00 00         
 [+] 8.513978    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             04 74 20 0F FF 55 55 55         
 [+] 8.525730    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             1F FF 36 01 FF FF FF FF         
 [+] 8.526282    CAN 1   18DAF917x   KWP2000                          CAN Frame     Rx     8     8             30 00 00 55 55 55 55 55         
 [+] 8.527386    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 FF FF FF FF FF FF FF         
 [+] 8.527962    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 FF FF FF FF FF FF FF         
 [+] 8.528527    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 FF FF 00 00 EC 01 01         
 [+] 8.529087    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 D0 00 00 00 03 FD C4         
 [+] 8.529659    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 10 00 00 04 00 01         
 [+] 8.530223    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 FF FF FF FF 33 CC         
 [+] 8.530764    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 CC 33 4D 32 31 39 49         
 [+] 8.531308    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 43 5F 2E 67 72 76 73         
 [+] 8.531876    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 04 00 01 00 20 20 02         
 [+] 8.532432    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 12 10 43 08 FF FF FF         
 [+] 8.533009    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B FF FF FF FF FF FF FF         
 [+] 8.533593    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C FF FF FF FF FF FF FF         
 [+] 8.534173    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D FF FF FF FF FF FF FF         
 [+] 8.534729    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E FF 03 00 0F 01 0F 01         
 [+] 8.535286    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 99 C6 02 01 99 C6 03         
 [+] 8.535842    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 01 99 C6 04 00 99 C6         
 [+] 8.536402    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 54 42 44 00 00 00 00         
 [+] 8.536978    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 00 00 00 00 00 00 00         
 [+] 8.537551    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 00 00 00 00 64         
 [+] 8.538107    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 00 42 70 0F D1 01         
 [+] 8.538675    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 64 00 00 41 E0 01 20         
 [+] 8.539235    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 03 01 00 88 08 1A 00         
 [+] 8.539792    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 FF FF 7C 45 D2 01 0A         
 [+] 8.540364    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 0B 00 0C 00 FF FF         
 [+] 8.540940    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 FF FF 00 00 00         
 [+] 8.541516    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 00 00 00 00 00 00         
 [+] 8.542077    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B FF FF 43 00 00 00 D4         
 [+] 8.542637    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C F9 D3 01 28 00 00 00         
 [+] 8.543197    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 0C FD D3 01 06 00 00         
 [+] 8.543753    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 AC FD D3 01 00 00         
 [+] 8.544322    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 00 00 00 00 00 43         
 [+] 8.544886    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 00 FF FF E0 FA D3 01         
 [+] 8.545446    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 AD 02 FF FF 30 FC D0         
 [+] 8.546002    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 01 AD 02 FF FF 54 A2         
 [+] 8.546563    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 D0 01 28 00 FF FF 54         
 [+] 8.547127    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 FC D3 01 06 00 FF FF         
 [+] 8.547691    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 F4 FC D3 01 00 00 FF         
 [+] 8.548271    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 FF 00 00 00 00 00 00         
 [+] 8.548848    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 00 00 00 00 00 00         
 [+] 8.549432    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 00 00 00 00 00         
 [+] 8.550008    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 00 00 00 00 00 00         
 [+] 8.550584    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 00 00 00 00 00 00 00         
 [+] 8.551161    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 00 00 00 00 00 00         
 [+] 8.551741    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 00 00 00 00 00 00 00         
 [+] 8.552317    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 00 00 00 00 00 00 00         
 [+] 8.552893    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 00 00 00 00 00 00         
 [+] 8.553462    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 00 00 8C 00 00 00 9C         
 [+] 8.554030    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 3B D2 01 00 00 FF FF         
 [+] 8.554606    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 FF FF FF FF 00 00 FF         
 [+] 8.555182    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 FF 00 00 00 00 00 00         
 [+] 8.555759    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 FF FF FF FF FF FF 05         
 [+] 8.556331    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 FF FF 04 0B D0 01         
 [+] 8.556887    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 05 00 40 00 A0 0F C8         
 [+] 8.557459    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 00 00 00 20 00 20 40         
 [+] 8.558028    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 40 FD 00 00 FF FF 00         
 [+] 8.558612    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 00 00 00 00 00         
 [+] 8.559180    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 33 00 00 66 00 00         
 [+] 8.559744    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 99 00 00 CC 00 00 FF         
 [+] 8.560305    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 33 00 00 33 33 00         
 [+] 8.560853    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 33 66 00 33 99 00 33         
 [+] 8.561413    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D CC 00 33 FF 00 66 00         
 [+] 8.561961    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 00 66 33 00 66 66 00         
 [+] 8.562506    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 66 99 00 66 CC 00 66         
 [+] 8.563062    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 FF 00 99 00 00 99 33         
 [+] 8.563606    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 00 99 66 00 99 99 00         
 [+] 8.564158    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 99 CC 00 99 FF 00 CC         
 [+] 8.564707    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 00 00 CC 33 00 CC 66         
 [+] 8.565259    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 00 CC 99 00 CC CC 00         
 [+] 8.565827    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 CC FF 00 FF 00 00 FF         
 [+] 8.566375    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 33 00 FF 66 00 FF 99         
 [+] 8.566940    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 FF CC 00 FF FF 33         
 [+] 8.567504    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 00 33 00 33 33 00         
 [+] 8.568044    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 66 33 00 99 33 00 CC         
 [+] 8.568592    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 33 00 FF 33 33 00 33         
 [+] 8.569133    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 33 33 33 33 66 33 33         
 [+] 8.569673    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 99 33 33 CC 33 33 FF         
 [+] 8.570217    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 33 66 00 33 66 33 33         
 [+] 8.570749    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 66 66 33 66 99 33 66         
 [+] 8.571294    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F CC 33 66 FF 33 99 00         
 [+] 8.571830    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 33 99 33 33 99 66 33         
